PEDOT-HTL (L1)>>thickness,PEDOT-HTL (L1)>>band gap,PEDOT-HTL (L1)>>electron affinity,N-CS2AgBiBr6 (L2)>>thickness,N-CS2AgBiBr6 (L2)>>band gap,N-CS2AgBiBr6 (L2)>>electron affinity,P-CsPb(I0.6Br0.4)3 (L3)>>thickness,P-CsPb(I0.6Br0.4)3 (L3)>>band gap,P-CsPb(I0.6Br0.4)3 (L3)>>electron affinity,Voc,Jsc,FF,eta,V_MPP,J_MPP,source_file
0.2608,1.551,3.644,0.9259,1.929,3.898,0.5289,1.626,3.963,1.388434,22.88462108,78.8577,25.0561,1.232397,20.33117138,part1_cleaned.csv
0.5497,1.304,3.413,0.3184,2.322,3.876,0.3877,1.868,3.991,,26.73524335,,25.0745,1.462859,17.14077571,part1_cleaned.csv
0.2698,1.71,3.549,0.4799,2.016,3.716,0.786,1.955,3.814,1.499287,18.47521895,82.8778,22.9569,1.371859,16.73412938,part1_cleaned.csv
0.4263,1.776,3.704,0.6162,2.044,3.623,0.8325,1.877,3.884,1.478413,18.34394435,81.4844,22.0985,1.350946,16.35780792,part1_cleaned.csv
0.1715,1.757,3.686,0.5582,2.009,3.805,0.9389,2.03,3.943,1.488197,16.02978645,67.9097,16.2002,1.321597,12.25804318,part1_cleaned.csv
0.163,1.261,3.402,0.7706,2.26,3.951,0.8946,1.953,3.776,0.771278,23.16551334,80.9537,14.464,0.729941,19.81534904,part1_cleaned.csv
0.5963,1.261,3.514,0.8338,2.387,3.65,0.9,1.992,3.85,1.512726,27.67516559,63.4813,26.5764,1.386813,19.16366752,part1_cleaned.csv
0.4437,1.373,3.548,0.9483,2.057,3.933,0.9338,1.714,3.712,1.454448,18.47818965,57.5758,15.4738,0.957698,16.1573036,part1_cleaned.csv
0.1228,1.796,3.751,0.7731,1.804,3.746,0.2897,2.047,3.829,1.436661,18.31833354,82.1576,21.6216,1.30359,16.58619409,part1_cleaned.csv
0.5913,1.438,3.613,0.8059,1.981,3.782,0.7104,1.754,3.956,1.419805,28.52043152,82.148,33.2645,1.276471,26.05976693,part1_cleaned.csv
