PEDOT-HTL (L1)>>thickness,PEDOT-HTL (L1)>>band gap,PEDOT-HTL (L1)>>electron affinity,N-CS2AgBiBr6 (L2)>>thickness,N-CS2AgBiBr6 (L2)>>band gap,N-CS2AgBiBr6 (L2)>>electron affinity,P-CsPb(I0.6Br0.4)3 (L3)>>thickness,P-CsPb(I0.6Br0.4)3 (L3)>>band gap,P-CsPb(I0.6Br0.4)3 (L3)>>electron affinity,Voc,Jsc,FF,eta,V_MPP,J_MPP,source_file
0.4544,1.538,3.796,0.7657,1.904,3.954,3.961,1.677,3.961,1.42205,22.20334398,82.7525,26.1285,1.280359,20.40716787,part3_cleaned.csv
0.3497,1.65,3.668,0.9031,2.188,3.953,3.601,1.629,3.601,1.455754,24.35507628,83.4068,29.5719,1.317656,22.44278924,part3_cleaned.csv
0.2461,1.547,3.455,0.5626,2.274,3.833,3.925,2.01,3.925,1.481061,15.75043578,76.8972,17.9381,1.28414,13.96895273,part3_cleaned.csv
0.5235,1.464,3.517,0.5204,2.184,3.707,3.926,1.97,3.926,1.48168,15.78560543,78.9958,18.4765,1.315201,14.04842995,part3_cleaned.csv
0.1849,1.698,3.414,0.7861,2.037,3.937,3.684,2.096,3.684,1.698341,15.34540842,74.8011,19.4945,1.442762,13.51189234,part3_cleaned.csv
0.2309,1.476,3.442,0.6685,2.052,3.802,3.62,1.641,3.62,1.449396,23.95698143,83.1679,28.8785,1.30912,22.05949915,part3_cleaned.csv
0.1227,1.361,3.462,0.3404,2.339,3.982,3.62,1.608,3.62,1.436973,25.11968196,83.5786,30.1688,1.299195,23.22113146,part3_cleaned.csv
0.08812,1.281,3.42,0.7932,1.813,3.807,3.939,1.941,3.939,1.46825,16.29274161,80.1614,19.1761,1.315455,14.57752081,part3_cleaned.csv
0.1672,1.773,3.732,0.8471,1.986,3.777,3.856,1.637,3.856,1.401051,23.76531775,82.7672,27.5585,1.257442,21.91633102,part3_cleaned.csv
0.3842,1.615,3.558,0.8761,2.12,3.73,3.632,1.738,3.632,1.507755,20.95700974,82.1115,25.9456,1.36382,19.02424406,part3_cleaned.csv
0.3868,1.384,3.517,0.3046,1.988,4.0,3.833,1.925,3.833,1.572537,16.31475453,80.7619,20.7199,1.424106,14.54942017,part3_cleaned.csv
0.1159,1.605,3.534,0.9983,2.284,3.676,3.617,1.993,3.617,1.724462,15.76387599,78.9677,21.4667,1.550083,13.84876772,part3_cleaned.csv
0.292,1.646,3.7,0.3857,1.982,3.765,3.887,1.61,3.887,1.375761,24.78732649,82.7839,28.2305,1.231137,22.93043186,part3_cleaned.csv
0.09191,1.454,3.665,0.9068,2.176,3.72,3.665,1.842,3.665,1.597274,18.46015807,81.7968,24.1186,1.456602,16.55809727,part3_cleaned.csv
0.2754,1.286,3.784,0.6625,2.296,3.791,3.835,1.681,3.835,1.442439,22.17862739,82.7022,26.4575,1.300501,20.34409533,part3_cleaned.csv
0.4558,1.413,3.764,0.2904,1.863,3.939,3.962,1.81,3.962,1.444897,18.76840577,82.2476,22.3042,1.307668,17.0565046,part3_cleaned.csv
0.2231,1.569,3.496,0.6563,2.04,3.98,3.826,1.724,3.826,1.482295,21.29363529,82.6336,26.082,1.341002,19.44965971,part3_cleaned.csv
0.5143,1.578,3.663,0.7792,2.007,3.619,3.649,1.991,3.649,1.717519,15.76689365,78.9582,21.3818,1.542452,13.86223205,part3_cleaned.csv
0.07992,1.249,3.799,0.5145,1.913,3.697,3.713,1.908,3.713,1.649254,16.32532627,81.086,21.8321,1.505954,14.49719115,part3_cleaned.csv
0.05379,1.35,3.79,0.4442,1.848,3.804,3.67,1.763,3.67,1.524509,20.04905798,82.1157,25.0986,1.382692,18.15201192,part3_cleaned.csv
0.5155,1.682,3.404,0.9663,2.235,3.706,3.77,1.705,3.77,1.467607,21.99699023,82.5937,26.6637,1.325034,20.12300097,part3_cleaned.csv
0.5951,1.366,3.642,0.6468,1.873,3.981,3.924,1.864,3.924,1.482523,17.34968485,81.8089,21.0423,1.344606,15.64942954,part3_cleaned.csv
0.521,1.627,3.493,0.6946,2.246,3.795,3.935,1.793,3.935,1.469673,19.67215467,82.4205,23.8291,1.330728,17.90681844,part3_cleaned.csv
0.4822,1.746,3.743,0.6644,2.129,3.768,3.99,1.878,3.99,1.417451,17.31686593,81.6143,20.0329,1.279217,15.66026652,part3_cleaned.csv
0.1652,1.269,3.693,0.3135,2.02,3.908,3.641,1.645,3.641,1.442029,23.7968602,82.9821,28.4759,1.299801,21.90792266,part3_cleaned.csv
0.5857,1.402,3.457,0.4827,2.27,3.92,3.855,2.045,3.855,1.547954,15.41358689,75.6316,18.0453,1.323144,13.63822162,part3_cleaned.csv
0.08754,1.44,3.778,0.2716,2.221,3.801,3.796,1.663,3.796,1.427544,23.09424723,82.6881,27.2607,1.284086,21.22962098,part3_cleaned.csv
0.1174,1.312,3.406,0.6111,1.877,3.987,3.774,1.613,3.774,1.386206,24.71707659,82.7206,28.3425,1.240911,22.84008972,part3_cleaned.csv
0.2895,1.711,3.677,0.6404,2.284,3.918,3.84,1.887,3.84,1.564219,17.268025,81.6026,22.0417,1.422735,15.49245649,part3_cleaned.csv
0.3114,1.392,3.779,0.7749,1.87,3.969,3.961,1.75,3.961,1.442849,20.09669129,82.5096,23.9249,1.303988,18.34746943,part3_cleaned.csv
0.1315,1.691,3.774,0.9612,1.808,3.783,3.991,1.901,3.991,1.415991,17.11614248,81.2393,19.6894,1.27451,15.44860244,part3_cleaned.csv
0.3491,1.454,3.424,0.7491,1.849,3.759,3.876,1.722,3.876,1.476528,21.33504821,82.6884,26.0483,1.335453,19.50522556,part3_cleaned.csv
0.288,1.699,3.449,0.5394,2.349,3.988,3.992,1.62,3.992,1.375129,24.34865421,82.8013,27.724,1.231,22.52150069,part3_cleaned.csv
0.4165,1.712,3.68,0.4417,2.368,3.819,3.817,1.655,3.817,1.419335,23.15804187,82.7193,27.189,1.276265,21.30356946,part3_cleaned.csv
0.5983,1.669,3.502,0.5206,1.864,3.741,3.842,1.721,3.842,1.479179,21.34772708,82.6598,26.1016,1.337982,19.50816431,part3_cleaned.csv
0.3796,1.797,3.798,0.773,2.209,3.68,3.821,1.907,3.821,1.583142,16.74184117,81.2086,21.5241,1.438744,14.96034046,part3_cleaned.csv
0.0916,1.415,3.571,0.6589,2.254,3.669,3.639,1.929,3.639,1.6744,16.30186679,80.6647,22.0181,1.526378,14.42507723,part3_cleaned.csv
0.2101,1.308,3.557,0.7547,2.157,3.668,3.991,1.781,3.991,1.415526,19.95790391,82.4183,23.2839,1.277314,18.22882909,part3_cleaned.csv
0.3937,1.785,3.758,0.7223,2.067,3.623,3.885,1.729,3.885,1.479873,21.00156296,82.6591,25.6902,1.339202,19.18319215,part3_cleaned.csv
0.5444,1.504,3.601,0.6503,2.165,3.766,3.901,1.729,3.901,1.47571,21.00137144,82.6638,25.6191,1.335146,19.18824317,part3_cleaned.csv
0.4602,1.497,3.65,0.9794,2.018,3.983,3.961,1.752,3.961,1.443213,20.09264611,82.5077,23.9256,1.304346,18.34296177,part3_cleaned.csv
0.4629,1.566,3.415,0.2091,2.066,3.841,3.748,1.938,3.748,1.648675,16.29162667,80.4774,21.6159,1.495736,14.45167745,part3_cleaned.csv
0.06748,1.531,3.797,0.7948,1.806,3.682,3.994,1.72,3.994,1.410672,21.38994437,82.6091,24.9266,1.270146,19.62500993,part3_cleaned.csv
0.2027,1.682,3.757,0.6965,2.153,3.764,3.751,1.78,3.751,1.537005,19.93214991,82.3509,25.2289,1.396659,18.06373305,part3_cleaned.csv
0.325,1.742,3.715,0.4482,2.139,3.798,3.658,1.73,3.658,1.497492,21.02518116,82.2192,25.8867,1.354481,19.11192772,part3_cleaned.csv
0.5289,1.256,3.556,0.3919,1.835,3.728,3.638,1.867,3.638,1.620477,17.32606021,81.4374,22.8648,1.479892,15.45028343,part3_cleaned.csv
0.2434,1.361,3.73,0.7934,2.05,3.633,3.731,2.022,3.731,1.671299,15.70811263,77.2977,20.2929,1.465234,13.84961419,part3_cleaned.csv
0.4811,1.325,3.785,0.734,1.97,3.719,3.625,1.849,3.625,1.604965,18.01334653,81.5166,23.5671,1.463488,16.1033672,part3_cleaned.csv
0.4484,1.731,3.511,0.2087,2.327,3.94,3.795,1.894,3.795,1.603616,17.20573829,81.4942,22.4854,1.460847,15.39202248,part3_cleaned.csv
0.3442,1.391,3.51,0.2623,2.25,3.813,3.955,1.654,3.955,1.409077,23.1698907,82.8014,27.0331,1.265998,21.35322979,part3_cleaned.csv
0.3517,1.46,3.556,0.4843,2.06,3.665,3.878,1.708,3.878,1.464964,21.93135741,82.7353,26.5817,1.32295,20.09278798,part3_cleaned.csv
0.3067,1.601,3.678,0.6445,1.816,3.814,3.969,1.733,3.969,1.43408,20.97445644,82.6103,24.8484,1.294121,19.20099093,part3_cleaned.csv
0.5837,1.239,3.417,0.4831,2.368,3.887,3.712,1.73,3.712,1.491912,20.99678978,82.3681,25.8021,1.349872,19.11447243,part3_cleaned.csv
0.2681,1.268,3.764,0.5934,1.841,3.869,3.911,1.768,3.911,1.48788,20.02982322,82.5213,24.593,1.348285,18.24018542,part3_cleaned.csv
0.404,1.691,3.783,0.6104,2.285,3.673,3.946,1.921,3.946,1.461164,16.32251414,80.7352,19.2552,1.315396,14.63835034,part3_cleaned.csv
0.1764,1.202,3.681,0.8604,2.213,3.728,3.839,1.761,3.839,1.513787,20.05110151,82.5141,25.0456,1.374118,18.2266455,part3_cleaned.csv
0.2437,1.792,3.556,0.4714,2.05,3.738,3.65,1.974,3.65,1.707567,15.77782043,79.4913,21.4163,1.542469,13.88442654,part3_cleaned.csv
0.1943,1.485,3.619,0.7032,2.217,3.761,3.747,1.716,3.747,1.477649,21.41516649,82.5054,26.1081,1.335842,19.54428415,part3_cleaned.csv
0.4829,1.415,3.497,0.4847,2.268,3.875,3.64,1.862,3.64,1.615715,17.33723077,81.4719,22.8219,1.475664,15.46553292,part3_cleaned.csv
0.5188,1.707,3.604,0.7198,2.01,3.756,3.658,1.602,3.658,1.412713,25.129735,83.3772,29.5998,1.272598,23.25937083,part3_cleaned.csv
0.382,1.733,3.715,0.4787,2.195,3.829,3.817,2.002,3.817,1.588934,15.76006852,77.9272,19.5143,1.398773,13.9510082,part3_cleaned.csv
0.1946,1.394,3.799,0.309,2.389,3.623,3.635,1.68,3.635,1.464901,22.29846098,82.5757,26.9734,1.321891,20.4051425,part3_cleaned.csv
0.5568,1.205,3.696,0.3511,1.817,3.766,3.733,1.753,3.733,1.511811,20.07348592,82.3271,24.9841,1.371313,18.21907115,part3_cleaned.csv
0.4626,1.487,3.689,0.2695,2.26,3.956,3.892,2.031,3.892,1.512928,15.61408918,76.1029,17.9778,1.299632,13.83297754,part3_cleaned.csv
0.5097,1.559,3.747,0.9648,1.908,3.963,3.633,1.615,3.633,1.431574,24.60835917,83.3981,29.3801,1.292661,22.72835116,part3_cleaned.csv
0.5841,1.24,3.446,0.4753,1.904,3.978,3.972,1.921,3.972,1.436039,16.32311533,80.679,18.9117,1.290653,14.65279177,part3_cleaned.csv
0.5062,1.584,3.757,0.8686,2.262,3.86,3.961,1.664,3.961,1.414504,23.08531873,82.806,27.0397,1.271672,21.26312416,part3_cleaned.csv
0.07333,1.477,3.622,0.7052,2.103,3.732,3.683,1.647,3.683,1.428871,23.39226083,82.7264,27.6509,1.285169,21.51536964,part3_cleaned.csv
0.5954,1.772,3.528,0.4001,1.833,3.859,3.783,1.708,3.783,1.469109,21.94752642,82.6143,26.6376,1.326683,20.07834084,part3_cleaned.csv
0.5219,1.276,3.525,0.3747,2.073,3.705,3.684,1.921,3.684,1.664258,16.31265064,80.865,21.9536,1.518346,14.45890018,part3_cleaned.csv
0.1388,1.431,3.642,0.7888,2.365,3.689,3.988,1.691,3.988,1.411962,22.15046753,82.7129,25.869,1.270545,20.36053794,part3_cleaned.csv
0.4496,1.494,3.678,0.585,2.335,3.954,3.982,1.7,3.982,1.418198,22.08790183,82.7122,25.9096,1.276651,20.29499983,part3_cleaned.csv
0.5552,1.475,3.651,0.6332,2.363,3.679,3.813,1.69,3.813,1.451166,22.14278916,82.6708,26.5645,1.308929,20.29484733,part3_cleaned.csv
0.5263,1.686,3.576,0.9738,2.381,3.794,3.861,1.724,3.861,1.48032,21.27749406,82.6708,26.0392,1.339174,19.44423847,part3_cleaned.csv
0.2405,1.25,3.578,0.2871,2.298,3.638,3.692,1.957,3.692,1.686317,16.21589842,80.0296,21.8842,1.527217,14.3294628,part3_cleaned.csv
0.2311,1.209,3.602,0.4348,1.913,3.824,3.974,2.084,3.974,1.419971,15.38497818,56.1733,12.2717,1.06968,11.47234541,part3_cleaned.csv
0.5767,1.337,3.654,0.4459,1.952,3.958,3.732,1.673,3.732,1.440802,22.8793669,82.5833,27.2233,1.297007,20.9893274,part3_cleaned.csv
0.2359,1.429,3.53,0.5172,2.029,3.891,3.946,2.052,3.946,1.456997,15.41190659,72.7932,16.3458,1.210742,13.50062752,part3_cleaned.csv
0.5271,1.287,3.71,0.7144,2.173,3.75,3.779,1.776,3.779,1.532018,19.9698394,82.4085,25.2122,1.391729,18.11574193,part3_cleaned.csv
0.5114,1.347,3.459,0.3171,1.815,3.86,3.914,2.022,3.914,1.492081,15.71485736,76.3636,17.9056,1.285427,13.92970877,part3_cleaned.csv
0.06788,1.362,3.539,0.3746,2.32,3.845,3.974,1.971,3.974,1.434024,15.78589192,78.6272,17.7991,1.267227,14.04571765,part3_cleaned.csv
0.09251,1.494,3.499,0.3632,2.292,3.625,3.672,1.946,3.672,1.68476,16.2679144,80.3504,22.0221,1.531115,14.38302701,part3_cleaned.csv
0.4767,1.59,3.657,0.3836,2.307,3.763,3.959,2.088,3.959,1.432647,15.379307,60.3355,13.2938,1.052349,12.63250478,part3_cleaned.csv
0.1493,1.369,3.673,0.4431,2.399,3.651,3.608,1.68,3.608,1.47416,22.33283774,82.688,27.2227,1.332422,20.4309754,part3_cleaned.csv
0.3217,1.367,3.692,0.5177,1.836,3.703,3.761,1.831,3.761,1.581802,18.64105351,82.1235,24.2153,1.442295,16.78941801,part3_cleaned.csv
0.5805,1.546,3.439,0.8092,2.144,3.97,3.626,1.607,3.626,1.432504,25.1248937,83.5536,30.0722,1.294415,23.23227714,part3_cleaned.csv
0.5903,1.706,3.637,0.3971,2.34,3.655,3.88,1.909,3.88,1.527125,16.3302327,81.064,20.216,1.383459,14.61264602,part3_cleaned.csv
0.1097,1.706,3.431,0.5218,2.02,3.669,3.822,1.753,3.822,1.508201,20.07636667,82.4941,24.9785,1.368348,18.25451954,part3_cleaned.csv
0.5796,1.363,3.515,0.6747,1.927,3.608,3.645,1.996,3.645,1.721478,15.76169432,78.7906,21.3786,1.543202,13.853396,part3_cleaned.csv
0.5737,1.794,3.764,0.8228,2.276,3.774,3.687,1.623,3.687,1.41241,24.4573317,82.9402,28.6507,1.269033,22.57678396,part3_cleaned.csv
0.4488,1.718,3.466,0.5631,2.396,3.884,3.78,1.995,3.78,1.625208,15.76700248,78.3268,20.071,1.440114,13.93707752,part3_cleaned.csv
0.3966,1.512,3.584,0.5923,2.165,3.653,3.874,1.975,3.874,1.532656,15.78252911,78.9698,19.1021,1.362569,14.0192156,part3_cleaned.csv
0.3043,1.346,3.466,0.5555,2.288,3.848,3.697,1.899,3.697,1.645654,17.11647055,81.346,22.9134,1.502588,15.24927433,part3_cleaned.csv
0.5883,1.575,3.701,0.994,2.081,3.608,3.772,1.904,3.772,1.622806,16.98839188,81.309,22.416,1.478662,15.15963464,part3_cleaned.csv
0.5791,1.467,3.797,0.4895,1.891,3.96,3.842,1.98,3.842,1.564482,15.77914836,78.8234,19.4585,1.390408,13.99481683,part3_cleaned.csv
0.2033,1.38,3.612,0.5116,1.816,3.65,3.66,2.088,3.66,1.722978,15.37636733,75.1883,19.9197,1.473106,13.52226877,part3_cleaned.csv
0.2049,1.568,3.468,0.9777,2.06,3.988,3.812,1.848,3.812,1.577709,18.20462761,82.0473,23.5653,1.438416,16.38280725,part3_cleaned.csv
0.2527,1.294,3.447,0.4238,1.869,3.83,3.68,1.854,3.68,1.605923,17.35396021,81.647,22.7543,1.466859,15.51224857,part3_cleaned.csv
0.3215,1.792,3.766,0.6154,2.207,3.869,3.838,1.955,3.838,1.568763,16.23817479,79.892,20.3516,1.408467,14.4494432,part3_cleaned.csv
0.181,1.286,3.72,0.8451,2.008,3.602,3.984,1.987,3.984,1.424219,15.77772896,77.5183,17.4191,1.246,13.98000879,part3_cleaned.csv
0.3258,1.428,3.732,0.221,1.803,3.714,3.871,1.723,3.871,1.477662,21.32320119,82.684,26.0525,1.336557,19.49223942,part3_cleaned.csv
0.3118,1.672,3.491,0.2461,2.133,3.604,3.763,1.899,3.763,1.626048,17.13811101,81.4146,22.6881,1.482691,15.30198349,part3_cleaned.csv
0.1614,1.624,3.768,0.4281,1.827,3.941,3.986,1.91,3.986,1.421561,16.33251423,80.9147,18.7865,1.279451,14.68326641,part3_cleaned.csv
0.2804,1.249,3.643,0.2455,1.822,3.98,3.98,1.632,3.98,1.387331,24.04083062,82.8079,27.6186,1.24322,22.21535064,part3_cleaned.csv
0.512,1.608,3.442,0.4439,2.095,3.74,3.883,1.883,3.883,1.523022,17.29051625,81.6468,21.5007,1.38252,15.5518514,part3_cleaned.csv
0.3424,1.224,3.608,0.9204,2.096,3.713,3.847,1.881,3.847,1.557734,17.295448,81.6677,22.0027,1.417166,15.52583641,part3_cleaned.csv
0.1162,1.512,3.526,0.2692,2.344,3.865,3.863,1.693,3.863,1.452881,22.12318086,82.7384,26.5941,1.311089,20.2839583,part3_cleaned.csv
0.1815,1.637,3.603,0.978,2.228,3.717,3.762,1.988,3.762,1.642531,15.77210402,78.6299,20.37,1.46207,13.93230382,part3_cleaned.csv
0.2679,1.282,3.448,0.8921,2.189,3.799,3.876,1.751,3.876,1.497663,20.08623406,82.5455,24.8317,1.358154,18.2833977,part3_cleaned.csv
0.408,1.57,3.444,0.299,2.319,3.943,3.757,1.953,3.757,1.644986,16.24308975,80.0234,21.382,1.485115,14.397532,part3_cleaned.csv
0.4826,1.226,3.507,0.657,1.899,3.979,3.91,1.943,3.91,1.496789,16.28809312,80.1878,19.5497,1.343007,14.55662654,part3_cleaned.csv
0.1173,1.588,3.708,0.5949,1.999,3.793,3.61,1.834,3.61,1.592651,18.60910832,81.5303,24.1638,1.449932,16.66547659,part3_cleaned.csv
0.2451,1.282,3.743,0.7687,2.133,3.659,3.924,1.684,3.924,1.437867,22.17554583,82.7676,26.3909,1.296117,20.36148194,part3_cleaned.csv
0.2758,1.475,3.611,0.2285,2.278,3.841,3.897,1.641,3.897,1.403745,23.69694961,82.7995,27.5428,1.260128,21.85715905,part3_cleaned.csv
0.107,1.602,3.608,0.3676,2.358,3.702,3.635,1.71,3.635,1.485894,22.01151537,82.3398,26.9307,1.341356,20.07722657,part3_cleaned.csv
0.1806,1.395,3.618,0.5335,2.009,3.983,3.745,1.657,3.745,1.425445,23.17917177,82.6272,27.3005,1.281504,21.30350564,part3_cleaned.csv
0.2341,1.713,3.641,0.3954,2.041,3.711,3.97,1.789,3.97,1.435675,19.82871972,82.4193,23.4628,1.297261,18.0864162,part3_cleaned.csv
0.07591,1.761,3.755,0.4073,2.269,3.881,3.63,1.682,3.63,1.467595,22.29877618,82.5742,27.0229,1.324519,20.40202903,part3_cleaned.csv
0.3077,1.763,3.438,0.6911,2.235,3.709,3.721,1.907,3.721,1.646904,16.69362403,81.1884,22.321,1.503143,14.84951708,part3_cleaned.csv
0.1525,1.451,3.506,0.6702,1.82,3.657,3.782,1.931,3.782,1.620744,16.30414435,80.6168,21.3029,1.469754,14.49416251,part3_cleaned.csv
0.5769,1.751,3.556,0.9726,1.974,3.649,3.766,2.053,3.766,1.634681,15.41024098,75.7956,19.0935,1.403962,13.59974344,part3_cleaned.csv
0.1677,1.643,3.629,0.3621,2.366,3.93,3.908,1.693,3.908,1.447584,22.13330219,82.7605,26.5163,1.305513,20.31103357,part3_cleaned.csv
0.1744,1.657,3.486,0.4215,2.331,3.63,3.694,1.911,3.694,1.654535,16.32256339,81.0317,21.8836,1.510781,14.48498676,part3_cleaned.csv
0.1689,1.243,3.563,0.2171,1.907,3.889,3.909,1.653,3.909,1.41349,23.17271296,82.8006,27.1208,1.270774,21.34197371,part3_cleaned.csv
0.1713,1.686,3.667,0.8307,1.934,3.667,3.912,1.747,3.912,1.47991,20.09804696,82.5498,24.553,1.340575,18.31529805,part3_cleaned.csv
0.2788,1.3,3.571,0.9825,2.057,3.83,3.661,1.891,3.661,1.640966,17.22382793,81.3621,22.9959,1.498751,15.34340808,part3_cleaned.csv
0.06352,1.708,3.608,0.881,1.98,3.688,3.694,1.954,3.694,1.684188,16.23382681,80.1074,21.902,1.526257,14.35016001,part3_cleaned.csv
0.2553,1.223,3.418,0.2728,2.261,3.953,3.77,2.083,3.77,1.621185,15.38804853,74.6882,18.6324,1.37069,13.59341807,part3_cleaned.csv
0.5488,1.476,3.43,0.4255,2.25,3.835,3.835,1.824,3.835,1.555377,18.69698221,82.2333,23.9141,1.416513,16.8824032,part3_cleaned.csv
0.2929,1.603,3.667,0.9081,2.042,3.685,3.666,2.006,3.666,1.718289,15.75069039,78.3317,21.1999,1.530826,13.84865211,part3_cleaned.csv
0.1789,1.795,3.538,0.7834,2.267,3.855,3.937,1.695,3.937,1.441816,22.12267698,82.763,26.3988,1.299908,20.30818546,part3_cleaned.csv
0.2043,1.261,3.428,0.4811,2.316,3.861,3.885,1.705,3.885,1.461643,22.0014753,82.7479,26.6103,1.31966,20.16451723,part3_cleaned.csv
0.5183,1.656,3.456,0.4746,2.281,3.897,3.924,1.718,3.924,1.460034,21.40682569,82.7034,25.8487,1.318982,19.59744722,part3_cleaned.csv
0.09704,1.255,3.792,0.5119,2.171,3.99,3.886,1.999,3.886,1.520927,15.76593963,77.8373,18.6645,1.334046,13.99087931,part3_cleaned.csv
0.5544,1.669,3.649,0.977,1.914,3.818,3.609,2.01,3.609,1.73531,15.74074888,78.4808,21.4371,1.551404,13.81786777,part3_cleaned.csv
0.4101,1.703,3.542,0.5911,1.854,3.734,3.795,2.073,3.795,1.601412,15.39980855,74.8909,18.4692,1.357004,13.61024329,part3_cleaned.csv
0.1429,1.306,3.765,0.4095,2.126,3.854,3.632,1.874,3.632,1.626518,17.3086657,81.3777,22.9101,1.485182,15.42581669,part3_cleaned.csv
0.528,1.535,3.639,0.2494,2.269,3.946,3.933,1.955,3.933,1.474608,16.24722911,79.7156,19.0985,1.316226,14.510049,part3_cleaned.csv
0.5261,1.294,3.728,0.4823,2.018,3.788,3.841,1.802,3.841,1.541816,18.77886969,82.2868,23.825,1.403317,16.97760181,part3_cleaned.csv
0.1332,1.599,3.497,0.7668,2.339,3.981,3.905,1.713,3.905,1.463784,21.43938755,82.7059,25.9553,1.322594,19.62453162,part3_cleaned.csv
0.09488,1.79,3.5,0.7752,2.097,3.937,3.899,1.979,3.899,1.508292,15.78053089,78.6744,18.7258,1.335264,14.02403431,part3_cleaned.csv
0.1623,1.564,3.558,0.7167,1.801,3.695,3.799,1.949,3.799,1.606079,16.26393184,80.1211,20.9286,1.448112,14.45230938,part3_cleaned.csv
0.5457,1.303,3.476,0.8537,2.29,3.899,3.655,1.832,3.655,1.588084,18.6275043,81.7975,24.1974,1.446981,16.72266114,part3_cleaned.csv
0.4006,1.514,3.447,0.2074,1.966,3.697,3.728,1.934,3.728,1.659317,16.29866182,80.6131,21.8015,1.508623,14.45127967,part3_cleaned.csv
0.5518,1.621,3.769,0.5075,2.151,3.691,3.636,1.905,3.636,1.654445,16.91005832,81.0817,22.684,1.510206,15.02048621,part3_cleaned.csv
0.1619,1.751,3.781,0.5621,1.862,3.78,3.982,2.024,3.982,1.424638,15.70564642,73.9692,16.5505,1.210097,13.67700525,part3_cleaned.csv
0.2181,1.441,3.744,0.6639,1.899,3.981,3.741,2.091,3.741,1.64655,15.3714423,74.6301,18.8888,1.392281,13.56677941,part3_cleaned.csv
0.233,1.404,3.647,0.5879,1.987,3.671,3.766,2.087,3.766,1.623366,15.38085312,74.5899,18.6242,1.370775,13.58659336,part3_cleaned.csv
0.202,1.68,3.49,0.4731,2.1,3.857,3.978,1.71,3.978,1.423167,21.89395037,82.6911,25.7655,1.281725,20.10221248,part3_cleaned.csv
0.09602,1.792,3.455,0.7974,1.835,3.685,3.805,1.979,3.805,1.601055,15.77893497,78.9271,19.9393,1.427105,13.97186699,part3_cleaned.csv
0.4581,1.601,3.701,0.4491,1.858,3.751,3.686,1.818,3.686,1.573559,18.71950169,81.969,24.145,1.433745,16.84049587,part3_cleaned.csv
0.5623,1.718,3.619,0.4138,1.871,3.735,3.686,2.016,3.686,1.709308,15.72904467,77.7637,20.9074,1.510757,13.83899474,part3_cleaned.csv
0.4861,1.683,3.786,0.7382,2.059,3.963,3.609,2.094,3.609,1.754233,15.35689949,75.7252,20.4001,1.513896,13.47521114,part3_cleaned.csv
0.2496,1.768,3.62,0.3304,2.128,3.788,3.952,1.76,3.952,1.452441,20.06753267,82.5113,24.0495,1.313648,18.30739692,part3_cleaned.csv
0.5214,1.459,3.706,0.8193,2.266,3.6,3.706,2.005,3.706,1.69299,15.75223697,78.0913,20.8257,1.501192,13.87276426,part3_cleaned.csv
0.3291,1.283,3.726,0.6361,2.145,3.658,3.813,1.941,3.813,1.5922,16.2890914,80.3702,20.8444,1.438155,14.49385987,part3_cleaned.csv
0.2923,1.456,3.578,0.552,1.882,3.911,3.854,1.696,3.854,1.455389,22.10758043,82.7303,26.6186,1.313525,20.26498519,part3_cleaned.csv
0.2894,1.235,3.769,0.9034,1.901,3.925,3.994,1.674,3.994,1.402223,22.79597632,82.7425,26.4487,1.259732,20.99546302,part3_cleaned.csv
0.1766,1.364,3.63,0.8585,1.882,3.834,3.693,2.037,3.693,1.705263,15.41399028,76.727,20.1676,1.488111,13.55251251,part3_cleaned.csv
0.3315,1.265,3.738,0.2083,1.873,3.785,3.683,1.773,3.683,1.533303,19.99099205,82.1456,25.1795,1.391752,18.09192528,part3_cleaned.csv
0.09619,1.423,3.402,0.7088,1.924,3.657,3.669,2.001,3.669,1.715252,15.75688827,78.4762,21.2098,1.530583,13.85732889,part3_cleaned.csv
0.2935,1.33,3.621,0.6138,2.179,3.614,3.822,1.754,3.822,1.509354,20.07280727,82.4931,24.9929,1.369486,18.24984614,part3_cleaned.csv
0.2586,1.75,3.771,0.4089,1.829,3.788,3.727,1.604,3.727,1.388481,25.01325905,82.8688,28.7807,1.243703,23.14112968,part3_cleaned.csv
0.4074,1.739,3.644,0.8117,2.334,3.748,3.9,2.054,3.9,1.502145,15.41105151,74.5547,17.2591,1.266628,13.62604837,part3_cleaned.csv
0.2375,1.376,3.641,0.8556,2.064,3.942,3.725,1.988,3.725,1.676069,15.77167349,78.7439,20.8155,1.496905,13.90568306,part3_cleaned.csv
0.3569,1.288,3.428,0.8828,2.008,3.967,3.971,1.692,3.971,1.423773,22.1461276,82.7358,26.0875,1.281988,20.3492458,part3_cleaned.csv
0.3905,1.235,3.563,0.4727,2.242,3.947,3.988,1.806,3.988,1.418821,18.78199148,82.2313,21.9132,1.28215,17.09100395,part3_cleaned.csv
0.3208,1.433,3.703,0.7769,1.986,3.996,3.845,1.955,3.845,1.561632,16.23976951,79.8925,20.2612,1.401626,14.45547825,part3_cleaned.csv
0.3379,1.649,3.658,0.9082,2.323,3.995,3.641,1.65,3.641,1.444477,23.34887145,82.9046,27.9612,1.302397,21.46901535,part3_cleaned.csv
0.07636,1.63,3.517,0.7329,1.83,3.761,3.909,2.056,3.909,1.493187,15.41045893,74.2159,17.0776,1.254303,13.61520795,part3_cleaned.csv
