actual_Voc,actual_Jsc,actual_FF,actual_eta,pred_XGBoost_Voc,pred_XGBoost_Jsc,pred_XGBoost_FF,pred_XGBoost_eta,pred_RandomForest_Voc,pred_RandomForest_Jsc,pred_RandomForest_FF,pred_RandomForest_eta,pred_GradientBoosting_Voc,pred_GradientBoosting_Jsc,pred_GradientBoosting_FF,pred_GradientBoosting_eta,pred_LinearRegression_Voc,pred_LinearRegression_Jsc,pred_LinearRegression_FF,pred_LinearRegression_eta,pred_RidgeRegression_Voc,pred_RidgeRegression_Jsc,pred_RidgeRegression_FF,pred_RidgeRegression_eta,pred_KNeighborsRegressor_Voc,pred_KNeighborsRegressor_Jsc,pred_KNeighborsRegressor_FF,pred_KNeighborsRegressor_eta,pred_ANN_Voc,pred_ANN_Jsc,pred_ANN_FF,pred_ANN_eta,pred_CNN_Voc,pred_CNN_Jsc,pred_CNN_FF,pred_CNN_eta,pred_RNN_Voc,pred_RNN_Jsc,pred_RNN_FF,pred_RNN_eta
1.411837,15.52665312,79.8414,17.5021,1.4364811,16.344372,79.72139,17.904757,1.4460004459999956,16.773259882760126,80.36812119999992,19.57387279999992,1.4947224302536617,17.604823782909328,78.79290380836312,21.93324287386475,1.5398302921935183,18.464965333053893,77.41126073093858,22.4954022017294,1.5398051597711873,18.465526347582824,77.41068677186828,22.4954006312115,1.4846838,18.466649188,80.0672,22.07302,1.4354026,16.338451,77.0138,17.998741,1.4600302,16.25811,72.663,17.697983,1.4300938,16.64293,76.32944,18.085735
1.508275,17.96870333,64.6486,17.5209,1.4811642,18.28064,70.0816,18.447157,1.4993795314545546,17.955952119905174,64.00942343737401,17.165498708080914,1.431002951508203,18.328744203771578,75.58076957267872,20.516543524401325,1.5084996412671543,19.894492851016626,80.43118097532707,23.6631842877799,1.508482798493288,19.894571534009643,80.4295863850178,23.662775907494414,1.5004378,19.926853602,79.79392,24.14832,1.4631872,17.154438,74.70255,18.600224,1.4893185,16.08058,75.35874,18.067545,1.5498257,15.2141075,73.307365,18.169672
1.575416,15.45485081,78.9887,19.232,1.4255025,13.324789,70.81975,16.105186,1.459252000000001,17.21166212312,77.7935690000001,19.6723954,1.4260949269638017,13.870411251434602,72.27820923186009,14.887090716718731,1.3982628529986734,12.630542114118194,75.76118781080332,14.333502146117766,1.398280068886711,12.632968202472789,75.7611939967657,14.336142230027672,1.3682564000000004,17.886196536,79.95541999999999,19.53194,1.5429627,17.087463,80.43182,20.51549,1.5237973,15.478607,79.88974,18.53627,1.5607809,15.373658,79.42518,19.17737
1.334306,31.85133738,84.8194,36.0478,1.4207423,28.221073,76.36079,26.36792,1.4857844880000033,22.592464091959965,76.91603440000002,24.944653600000013,1.404063527161281,25.66540124128116,77.04622118061415,26.80837203246992,1.422139722846741,24.62640236242151,77.27843990652768,26.48168845039506,1.422152366588281,24.62458898141909,77.2779745343075,26.480069255646253,1.4796916,23.346930612,79.82061999999999,26.75664,1.3736228,29.325542,82.47076,33.088753,1.3175001,32.283333,84.13626,36.05054,1.3454806,31.52948,85.85443,36.465874
1.434752,20.82977563,66.5889,19.9005,1.4262077,20.195576,68.27301,19.236217,1.438278892000002,20.47783069123989,67.3600253999997,19.78695359999989,1.4404996365814982,19.68941308271083,69.47211602650341,19.701928830374506,1.4911604480822065,16.661056113125035,68.19599261828084,16.72368934067418,1.4911476491632392,16.662226188289146,68.19861442102473,16.725633958395335,1.4397864,17.928155848,67.9351,17.64894,1.442293,20.439226,68.65962,19.84925,1.4570352,21.232557,62.68554,18.89751,1.4390118,20.821636,68.42012,19.994595
1.559899,24.14988971,80.2891,30.246,1.5574803,24.447186,81.72961,29.838854,1.554451509999985,23.95484402055977,80.47123060000091,29.972052999999715,1.5406581846328462,22.78095979004184,80.72228090072949,27.83248530438476,1.57243324641396,23.800856726578644,77.3763705294123,27.872925490023924,1.572396958860489,23.799576897699374,77.37580943935646,27.871065710270475,1.5080964,23.05012086,79.33568,27.81014,1.5257529,23.033146,82.30545,28.941837,1.5738974,24.551052,79.73785,30.288237,1.561242,23.292606,83.09938,30.319416
1.584867,18.65195415,81.8754,24.2031,1.5853089,19.638338,75.711685,24.396605,1.564359972,21.89729052622003,70.44094659999995,22.87427399999999,1.597645967745915,19.675197001433123,81.05474808302061,25.642645228184943,1.5973062797377984,22.418459940831426,75.71249538231258,26.07364299616778,1.5972564153987927,22.417502496106778,75.71265595732673,26.07228181525601,1.5500154,19.46443401,81.93308,24.6012,1.5576848,18.440947,80.27978,23.060013,1.5746758,19.064787,80.186005,24.018288,1.5817108,18.824186,81.0109,24.041466
1.459443,22.86390247,62.8232,20.9632,1.4899131,23.930347,67.91936,22.112597,1.5070501359999977,22.799089060039996,64.3410077999998,21.53591760000005,1.5126270160788886,23.04885004689981,73.11160373866227,22.793879604889533,1.5387336454298528,21.41826646234436,72.92186730321126,23.08191590095089,1.5387106922451932,21.41803580674801,72.92304844415183,23.082030269201717,1.4794672,25.681455528000004,68.28316,26.0198,1.7928694,20.681923,65.84379,20.585249,1.4681566,20.379498,74.1083,21.473848,1.5091628,18.647472,75.467674,20.76639
1.721478,15.76169432,78.7906,21.3786,1.6442626,16.445099,80.63918,25.688564,1.5979771080000007,19.11948416496005,78.51488760000015,23.87902699999996,1.6296331500502463,20.390792491480724,83.86478748324092,29.745875165436654,1.6620705580902375,28.5543374154066,87.16711217468307,36.11898494391926,1.6620004986790875,28.55118528260219,87.16317241635836,36.11406144385988,1.680545,16.205499146,79.50070000000001,21.63782,1.6718233,15.882333,80.70014,21.376352,1.6791028,15.449577,80.05844,21.0531,1.694662,15.933121,78.9537,21.355577
1.5874,19.20893466,81.9873,24.9998,1.6475781,18.974585,82.71836,23.841213,1.530316264000002,18.27802882300001,81.51143980000008,22.82064719999996,1.6300337179192372,20.1991782097926,76.9459429808681,24.475453525217485,1.5991798587578745,19.82297359599552,76.83995050860625,24.49760200279937,1.5991279288538007,19.823044206133524,76.83977927796829,24.496894420197226,1.5543090000000002,19.154363674000003,81.9503,24.44436,1.5519791,18.849997,82.06602,24.168205,1.565628,19.325562,82.591095,24.942087,1.5821993,18.549551,83.3625,24.78213
1.533572,16.96522841,80.7763,21.0159,1.5264692,17.1754,81.633354,21.20509,1.5068039376000089,17.6058397669,81.33680937333342,21.57470005333345,1.4630541575502296,16.974767327736327,79.91394248840635,21.675277583430663,1.3638891683917218,16.930300632481107,84.78613835143148,20.42696175311358,1.363920903302683,16.93145075766489,84.78325715512952,20.427791420514023,1.477215,18.83913237,81.20854,22.56632,1.5214225,17.888498,80.17117,21.52902,1.5175554,17.562424,81.41495,21.708426,1.5320375,16.956911,80.48049,20.716652
