source,model,target,R2,RMSE,MAE,Accuracy
NN,ANN,Voc,0.5459368595969492,0.13230353498508254,0.03810158834495961,0.98224043715847
NN,ANN,Jsc,0.9572925544727519,1.3914811944690786,0.8917343188241095,0.9234972677595629
NN,ANN,FF,0.8665603223125734,4.649922290872654,2.9486874330864574,0.9467213114754098
NN,ANN,eta,0.9855759753628638,0.9545410477026899,0.7499199688332979,0.9371584699453552
NN,ANN,overall,0.8388414279362845,2.474199368625858,1.1571108272722066,0.9474043715846995
NN,CNN,Voc,0.7007068091286787,0.10741421085032274,0.03371810103322639,0.9808743169398907
NN,CNN,Jsc,0.9633084303965783,1.2897593614203686,0.7762639311576501,0.9234972677595629
NN,CNN,FF,0.8639048986246174,4.695960656062138,2.871493866075193,0.9480874316939891
NN,CNN,eta,0.9943771596115524,0.5959766696254327,0.45222228860073393,0.9480874316939891
NN,CNN,overall,0.8805743244403567,2.4536835419979006,1.0334245467167007,0.950136612021858
NN,RNN,Voc,0.8375326313070369,0.0791400640224766,0.031123787632061486,0.9863387978142076
NN,RNN,Jsc,0.9784976025777897,0.9873451240659687,0.6412556424904879,0.9562841530054644
NN,RNN,FF,0.9148146154621062,3.7152303598800005,2.336821248814317,0.9631147540983607
NN,RNN,eta,0.9934724463106691,0.6421353923649151,0.4984030878807026,0.9658469945355191
NN,RNN,overall,0.9310793239144004,1.9491272426942812,0.8769009417043934,0.967896174863388
